Code, Description, CodeType, Deprecated, Created, Modified, 
ALL, All countries used when reporting survey indices, IC_Country, False, 2006-10-23, 2006-10-23, 
BE, Belgium, IC_Country, False, 2006-10-23, 2006-10-23, 
BG, Bulgaria, IC_Country, False, 2012-08-08, 2012-08-08, 
CA, Canada, IC_Country, False, 2007-06-22, 2007-06-22, 
DE, Germany, IC_Country, False, 2006-10-23, 2006-10-23, 
DK, Denmark, IC_Country, False, 2006-10-23, 2006-10-23, 
EE, Estonia, IC_Country, False, 2006-10-23, 2006-10-23, 
ES, Spain, IC_Country, False, 2006-10-23, 2006-10-23, 
FI, Finland, IC_Country, False, 2006-10-23, 2006-10-23, 
FO, Faroe Islands, IC_Country, False, 2006-10-23, 2006-10-23, 
FR, France, IC_Country, False, 2006-10-23, 2006-10-23, 
GG, UK (Channel Island Guernsey), IC_Country, False, 2008-03-02, 2008-03-02, 
GL, Greenland, IC_Country, False, 2006-10-23, 2006-10-23, 
IE, Ireland, IC_Country, False, 2006-10-23, 2006-10-23, 
IM, UK (Isle of Man), IC_Country, False, 2008-03-02, 2008-03-02, 
IS, Iceland, IC_Country, False, 2006-10-23, 2006-10-23, 
IT, Italy, IC_Country, False, 2007-06-22, 2007-06-22, 
JE, UK (Channel Island Jersey), IC_Country, False, 2008-03-02, 2008-03-02, 
LT, Lithuania, IC_Country, False, 2006-10-23, 2006-10-23, 
LV, Latvia, IC_Country, False, 2006-10-23, 2006-10-23, 
NL, Netherlands, IC_Country, False, 2006-10-23, 2006-10-23, 
NO, Norway, IC_Country, False, 2006-10-23, 2006-10-23, 
OT1, First unknown country, IC_Country, False, 2006-10-23, 2006-10-23, 
OT2, Second unknown country, IC_Country, False, 2006-10-23, 2006-10-23, 
OT3, Third unknown country, IC_Country, False, 2006-10-23, 2006-10-23, 
PL, Poland, IC_Country, False, 2006-10-23, 2006-10-23, 
PT, Portugal, IC_Country, False, 2006-10-23, 2006-10-23, 
RU, Russia, IC_Country, False, 2006-10-23, 2006-10-23, 
SE, Sweden, IC_Country, False, 2006-10-23, 2006-10-23, 
UK, United Kingdom, IC_Country, False, 2006-10-23, 2006-10-23, 
UKE, UK (England), IC_Country, False, 2006-10-23, 2006-10-23, 
UKN, UK(Northern Ireland), IC_Country, False, 2006-10-23, 2006-10-23, 
UKS, UK(Scotland), IC_Country, False, 2006-10-23, 2006-10-23, 
US, United States, IC_Country, False, 2007-06-22, 2007-06-22, 
